# KerbalEngineer -- словарь UI-строк, извлечённых напрямую из скомпилированного
# KerbalEngineer.dll (jrbudda/KerbalEngineer 1.1.9.5, https://github.com/jrbudda/KerbalEngineer).
# Строки НЕ покрытые встроенной локализацией мода (та часть -- title/description/manufacturer
# деталей -- уже переведена штатным GameData/KerbalEngineer/Localization/ru.cfg).
# Формат: Английский<TAB>Русский. Несовпадение = строка остаётся как есть (см. tools/ui-translator).

# --- Категории параметров (вкладки в редакторе секций) ---
Body	Тело
Miscellaneous	Разное
Orbital	Орбита
Rendezvous	Сближение
Surface	Поверхность
Thermal	Нагрев
Vessel	Аппарат

# --- Названия параметров (readout Name, показываются в окне телеметрии) ---
Acceleration	Ускорение
Altitude (Sea Level)	Высота (над морем)
Altitude (Terrain)	Высота (над рельефом)
Angle to Equ. AN	Угол до эк. ВУ
Angle to Equ. DN	Угол до эк. НУ
Angle to Prograde	Угол до прогр.
Angle to Rel. AN	Угол до отн. ВУ
Angle to Rel. DN	Угол до отн. НУ
Angle to Retrograde	Угол до ретрогр.
Angle-of-Attack	Угол атаки
Angle-of-Displacement	Угол отклонения
Angle-of-Sideslip	Угол скольжения
Apoapsis Height	Высота апоцентра
Arg. Of Periapsis	Аргумент перицентра
Atmos. Efficiency	Атм. эффективность
Atmos. Pressure	Атм. давление
Bearing to Target	Пеленг на цель
Bearing to Waypoint	Пеленг на точку
Biome	Биом
Body Mass	Масса тела
Body Orbital Period	Период обращения тела
Body Radius	Радиус тела
Body Rotation Period	Период вращения тела
Clear Separator	Прозрачный разделитель
Convection Flux	Конвективный поток
Coolest Part	Самая холодная деталь
Coolest Skin Temperature	Мин. темп. обшивки
Coolest Temperature	Мин. температура
Critical Part	Критическая деталь
Critical Skin Temperature	Крит. темп. обшивки
Critical Temperature	Крит. температура
Critical Thermal Percentage	Крит. процент нагрева
Crosshair	Перекрестие
Current Body Name	Название тела
DeltaV (Current/Total)	Delta-V (тек./всего)
DeltaV Current	Delta-V текущей ступени
DeltaV Staged	Delta-V по ступеням
DeltaV Total	Delta-V всего
Distance	Дистанция
Distance (Surface)	Дистанция (поверхность)
Distance to Waypoint (Surface)	Дистанция до точки (поверхность)
Dynamic Pressure	Динамическое давление
Eccentric Anomaly	Эксцентрич. аномалия
Eccentricity	Эксцентриситет
Electric Charge	Заряд батареи
G-Force	Перегрузка
GUI Size Adjustor	Регулятор размера интерфейса
Glideslope	Глиссада
Gravity	Гравитация
Has Atmosphere	Есть атмосфера
Has Oxygen	Есть кислород
Heading	Курс
Heading Rate	Скорость поворота курса
High Atmosphere Alt.	Выс. верх. атмосферы
High Space Alt.	Выс. дальнего космоса
Horizontal Acceleration	Горизонт. ускорение
Horizontal Speed	Горизонт. скорость
Hottest Part	Самая горячая деталь
Hottest Skin Temperature	Макс. темп. обшивки
Hottest Temperature	Макс. температура
Impact Altitude	Высота падения
Impact Biome	Биом падения
Impact Latitude	Широта падения
Impact Longitude	Долгота падения
Impact Marker	Маркер падения
Impact Time	Время до падения
Inclination	Наклонение
Intake Air (D/S)	Возд. заборники (потр/дост)
Intake Air (Demand)	Возд. заборники (потребность)
Intake Air (Supply)	Возд. заборники (доступно)
Intake Air (Usage)	Возд. заборники (расход)
Internal Flux	Внутренний поток
LF:Ox Ratio	Соотношение ЖТ:Ок
Latitude	Широта
