# Waterfall — UI strings extracted from Waterfall.dll (v0.11.0.0). Effect-editor mod, mostly
# used by advanced players/config authors. Two extraction passes:
#  1) `strings -a` on the raw DLL (identifiers + custom-attribute display names for the 15
#     controller types, e.g. [ControllerUIOptions("Gimbal")] style annotations -> UTF-8 attribute blob).
#  2) A custom UTF-16LE scanner (macOS `strings` cannot see .NET ldstr literals, which are UTF-16)
#     for the actual GUILayout.Label/Window text used throughout the in-game effect editor.
# Skipped by design: type/method/field identifiers, ConfigNode section/key names (CONTROLLER,
# EFFECTTEMPLATE, MODULE, engineID, etc. — these are .cfg schema keywords, not on-screen text),
# Debug.Log-only diagnostic/error messages ("[XController]: Could not find..."), shader/particle
# property ids (_MainTex, _Intensity...), .pdb paths, version/GUID/copyright metadata, and any
# string.Format template containing {0}-style placeholders (the substituted runtime text never
# equals the template verbatim, so such entries could never produce an exact match). Strings with
# an embedded literal newline are also skipped: the loader reads the file with File.ReadAllLines
# before it ever looks for the tab delimiter, so a dictionary line can't itself contain a newline.


# --- Controller type display names (Add Controller dropdown) ---
Atmosphere Density	Плотность атмосферы
Custom (Pull)	Пользовательский (считывание)
Custom (Push)	Пользовательский (запись)
Engine Event	Событие двигателя
Engine On State	Состояние двигателя (вкл/выкл)
Gimbal	Гимбал
Light	Свет
Mach	Число Маха
Randomness	Случайность
Remap	Переотображение
Scalar Module (AnimateGeneric)	Скалярный модуль (AnimateGeneric)
Throttle	Газ
Thrust	Тяга
Velocity	Скорость
DEBUG	ОТЛАДКА

# --- Main window / editor titles ---
WaterfallFX Editor	Редактор WaterfallFX
Color Picker	Выбор цвета
Curve Editor	Редактор кривой
Gradient Editor	Редактор градиента
Light Editor	Редактор света
Material Editor	Редактор материала
Model Editor	Редактор модели
Particle System Editor	Редактор системы частиц
Texture Picker	Выбор текстуры
Modifier Editor	Редактор модификатора
Modifier Editor - Light Color Match	Редактор модификатора — соответствие цвета света
Modifier Editor - Material Color	Редактор модификатора — цвет материала
Modifier Editor - Material Parameter	Редактор модификатора — параметр материала
Modifier Editor - Light Color	Редактор модификатора — цвет света
Modifier Editor - Light Float Parameter	Редактор модификатора — числовой параметр света
Modifier Editor - Particle Color	Редактор модификатора — цвет частиц
Modifier Editor - Particle Parameter	Редактор модификатора — параметр частиц
Modifier Editor - Transform Position	Редактор модификатора — позиция
Modifier Editor - Transform Rotation	Редактор модификатора — поворот
Modifier Editor - Transform Scale	Редактор модификатора — масштаб
Modifier Editor - UV Scroll	Редактор модификатора — прокрутка UV
Couldn't find any effects modules on this craft, add modules via config before using this editor..	На этом аппарате не найдено модулей эффектов. Добавьте модули через конфиг перед использованием этого редактора.

