# B9_Aerospace_ProceduralWings — wing/control-surface shape editor
# (chord/thickness/sweep/edges, the "press J to edit" window).
#
# MAJOR FINDING: this mod already ships a FULL, complete Russian localization
# via KSP's stock #autoLOC_ system:
#   GameData/B9_Aerospace_ProceduralWings/Localization/ru.cfg (171 keys)
# matched 1:1 against the English source in Localization/refactor.cfg. It
# covers literally the entire shape editor: every field label, every dropdown
# value (Rounded/Biconvex/Triangular/Uniform/Standard/Reinforced...), every
# tooltip paragraph, and the 3 part title/description blocks. This looks like
# prior work from this same kerbal.ru project (ru.cfg's mtime is newer than
# every other file the mod ships, and its phrasing matches this project's
# established RU terminology).
#
# The 116 pairs below are extracted directly from refactor.cfg/ru.cfg (same
# approach as ConformalDecals.txt) so the SAME Harmony dictionary also covers
# this mod if the game runs in English locale — Text.text still ends up
# holding the English string in that case, which is exactly what this
# framework matches on. Skipped only the 4 entries where English == Russian
# already (a literal "#", the separator line, and the material names
# LRSI/HRSI which stay as acronyms in Russian too).
#
# GAP FOUND BY DIRECT ldstr INSPECTION: a handful of tooltip/label strings are
# NOT in ru.cfg at all — they're literal English fallback branches inside
# WingProcedural::UpdateTooltipText() / DrawCheck() calls for tooltip ids
# 105-107, 301 (0x69-0x6b, 0x12d) that sit right next to sibling ids which DO
# route through Localizer.Format("#autoLOC_..."). Looks like these were added
# in a mod update after the last "make localization" pass and never
# backported to ru.cfg. Also found: two custom difficulty-settings page
# titles ("Controls"/"Log Settings", WPSensitivity/WPDebug.get_Title()) and
# a crash-tolerance difficulty field, an "Invalid" tank-setup fallback label,
# and two reflection-fallback strings (TitleNotAvailable/VersionNotAvailable)
# shown only if the assembly's own version metadata is missing. These 13
# entries are new translations (not sourced from ru.cfg) — worth a follow-up
# PR to add them to B9's own ru.cfg too, since that's the more correct fix.
#
# Skipped as non-UI (confirmed by tracing call sites): hundreds of
# Debug.Log-only strings, FAR/NEAR integration diagnostics, shader/material
# property names (_MainTex, sharedMaterialEL...), reflection field names
# (ctrlHandleLength1, handleWidthRootBack...), GameObject.Find() lookups
# ("Normal", "CtrlSurf"), format specifiers (F2/F3/G5), and the
# install-path-check popup's long error paragraphs (not part of the shape
# editor itself). "OK" skipped — same in Russian UI convention, no-op.

Last:	Посл.:
Property editor	Редактор параметров
LeftCtrl: Auto Axis Locking\nX: lock Offset. Y: lock Length\n_________________________	LeftCtrl: автоблок. оси\nX: блок. смещение. Y: блок. длину\n_________________________
Close	Закрыть
Handles	Маркеры
Preference	Настройки
Use angles to define the wing	Задавать крыло углами
No	Нет
Yes	Да
Scale edges to thickness	Масштаб кромок по толщине
Base	База
Length	Длина
Width (root)	Ширина (у корня)
Width (tip)	Ширина (у конца)
Offset (tip)	Смещение (у конца)
Swept angle(front)	Стреловидность (перед)
Swept angle(back)	Стреловидность (зад)
Thickness (root)	Толщина (у корня)
Thickness (tip)	Толщина (у конца)
Offset (root)	Смещение (у корня)
Edge (leading)	Кромка (передняя)
Shape	Форма
Edge (trailing)	Кромка (задняя)
Surface (top)	Поверхность (верх)
Material	Материал
Opacity	Непрозрачность
Hue	Оттенок
Saturation	Насыщенность
Brightness	Яркость
Surface (bottom)	Поверхность (низ)
Surface (trailing edge)	Поверхность (задняя кромка)
Surface (leading edge)	Поверхность (передняя кромка)
_________________________\n\nPress J to exit edit mode\nOptions below allow you to change default values	_________________________\n\nJ — выйти из режима правки\nНиже — смена значений по умолчанию
| Next tank setup	| След. вариант бака
Save as default	Сохранить как основной
Restore default	Восстановить основной
_________________________\n\nOptions options allow you to match the part properties to it's parent	_________________________\n\nНиже — подгонка параметров детали под родителя
Edges	Кромки
Color	Цвет
Align with back edges	Выровнять по задним кромкам
Align with fore edges	Выровнять по передним кромкам
Exiting edit mode...\n	Выход из режима правки...\n
Press J while pointing at a\nprocedural part to edit it	Наведите на деталь и нажмите J\nдля правки
Additional info on edited \nproperties is displayed here	Здесь показана справка \nпо редактируемому параметру
Lateral measurement of the wing, \nalso referred to as semispan	Поперечный размер крыла \n(полуразмах)
Lateral measurement of the control \nsurface at it's root	Поперечный размер поверхности \nуправления у корня
Longitudinal measurement of the wing \nat the root cross section	Продольный размер крыла \nв сечении у корня
Longitudinal measurement of \nthe root chord	Продольный размер \nхорды у корня
Longitudinal measurement of the wing \nat the tip cross section	Продольный размер крыла \nв сечении у конца
This property shouldn't be accessible \non a wing	Этот параметр недоступен \nдля крыла
Offset of the trailing edge \nroot corner on the lateral axis	Смещение угла задней кромки \nу корня по поперечной оси
