# MechJeb2 -- словарь UI-строк, извлечённых напрямую из скомпилированного MechJeb2.dll
# (строки, НЕ покрытые встроенной локализацией мода через Localizer/#MechJeb_-ключи --
#  та часть уже переведена штатным ru.cfg мода). Формат: Английский<TAB>Русский.
# Несовпадение = строка остаётся как есть (см. tools/ui-translator).

# --- Заголовки окон / разделов ---
Aircraft Autopilot	Автопилот самолёта
Ascent Path Editor	Редактор траектории взлёта
Ascent Settings	Настройки взлёта
PVG Settings	Настройки PVG
Ascent Guidance	Управление взлётом
Attitude Adjustment	Настройка ориентации
Custom Window Editor	Редактор пользовательских окон
Docking Autopilot	Автопилот стыковки
Flight Recorder	Бортовой самописец
Landing Guidance	Управление посадкой
Maneuver Node Editor	Редактор узла манёвра
Maneuver Planner	Планировщик манёвров
RCS Balancer	Балансировщик RCS
Rendezvous Autopilot	Автопилот сближения
Rendezvous Planner	Планировщик сближения
Rover Autopilot	Автопилот ровера
Rover Controller	Контроллер ровера
Waypoint Help	Справка по точкам маршрута
Routes Help	Справка по маршрутам
ILS Guidance	Управление ILS
Aircraft Approach & Autoland	Заход на посадку и автопосадка самолёта
Warp Helper	Помощник ускорения времени
Utilities	Утилиты
Translatron	Транслатрон
Automation	Автоматизация
Settings	Настройки

# --- Кнопки / действия ---
Extend	Выдвинуть
Retract	Свернуть
RCS Burn	Манёвр на RCS
Kill Rotation	Погасить вращение
Abort Adding	Отменить добавление
Add Waypoint	Добавить точку маршрута
Reverse	Развернуть
Remove	Удалить
Clear	Очистить
Down	Вниз
Bottom	В конец
Help	Справка
Delete	Удалить
Save	Сохранить
Load	Загрузить
Reset to PVG/RO Defaults	Сбросить к настройкам PVG/RO по умолчанию
Reset Tuning Values	Сбросить настройки тюнинга
Soften	Смягчить
MechJeb Execute Next Node	MechJeb: выполнить следующий узел
MechJeb Autostage Once	MechJeb: автоступень (один раз)
MechJeb Auto-warp	MechJeb: авто-ускорение времени
Show Advanced Window Settings	Показать расширенные настройки окна
Draw Trajectory on Map	Рисовать траекторию на карте
Override Warp to Plane	Отключить ускорение до плоскости
Auto	Авто

# --- Настройки взлёта (Ascent) ---
Update Interval	Интервал обновления
Flight Path Angle	Угол траектории полёта
Coast Before	Пассивный участок до
Coast After	Пассивный участок после
Fixed Coast Length:	Фиксированная длина пассивного участка:
Ullage lead time: 	Время осадки топлива заранее: 
Spinup stage: 	Ступень раскрутки: 
Spinup lead time: 	Время раскрутки заранее: 
Q Trigger:	Порог по скоростному напору:
PVG After Stage:	PVG после ступени:
Min 	Мин 
Last Stage: 	Последняя ступень: 
Early Shutoff Stage: 	Ступень раннего отключения: 
Unguided Stages: 	Неуправляемые ступени: 
Coast Stage: 	Ступень пассивного участка: 

# --- Источники крутящего момента (Vessel Info) ---
# Строка "RCS" в этой таблице (VesselState::TorqueCompare, ldstr "RCS" -> GUILayout.Label)
