# RealAntennas -- UI translation dictionary for kerbalru-ui-translator
# Format: English<TAB>Russian. Exact-string match only (see docs/MAINTAINING.md and
# tools/ui-translator/src/KerbalRuUiTranslator.cs). Extracted from RealAntennas.dll
# (ldstr literals in the #US heap + KSPField/KSPEvent attribute strings).
Antenna Targeting	Наведение антенны
Antenna Planning	Планирование антенны
Debug Antenna	Отладка антенны
Disable antenna permanently	Отключить антенну навсегда
Condition	Состояние
Enabled	Включено
Disabled	Отключено
Permanently shutdown	Отключено навсегда
Broken	Неисправно
<color=red><b>Disabled</b></color>	<color=red><b>Отключено</b></color>
<color=green>Enabled</color>	<color=green>Включено</color>
Gain	Усиление
 dBi	 дБи
 dBm	 дБм
Transmit Power (dBm)	Мощность передачи (дБм)
Tech Level	Уровень технологий
<color=yellow>Tech Level</color>	<color=yellow>Уровень технологий</color>
<color=orange>Tech Level</color>	<color=orange>Уровень технологий</color>
RF Band	РЧ-диапазон
Power (Active)	Мощность (активна)
Power (Idle)	Мощность (ожидание)
Antenna Target	Цель антенны
Active Transmission Time	Время активной передачи
-Band	-диапазон
Apply Minimum Dish Distance	Учитывать минимальную дистанцию тарелки
"Antenna Cones" directional antennas cannot point at a target that is too close.	«Конусы антенн»: направленные антенны не могут навестись на слишком близкую цель.
Performance UI Button	Кнопка UI производительности
Enable / Disable RealAntennas UI (shows performance metrics), also MOD+I	Включить/выключить UI RealAntennas (показывает метрики производительности), также MOD+I
Periodic Debug Logging	Периодическое отладочное логирование
Dump RealAntennas state on interval for debugging.	Периодически выгружать состояние RealAntennas в лог для отладки.
Periodic Debug Interval	Интервал отладочного логирования
Interval (sec) at which to send RealAntennas state data to debug log.	Интервал (сек), с которым состояние RealAntennas отправляется в лог отладки.
Maximum Min Dish Distance	Максимум мин. дистанции тарелки
Beyond this distance, a directional antenna can always point at a target.	За пределами этой дистанции направленная антенна всегда может навестись на цель.
Maximum Tech Level	Максимальный уровень технологий
