# RealChute — UI strings extracted from RealChute.dll (v1.4.9.5). Parachute configuration
# window (diameter, deployment altitude/speed, presets, materials) plus the part right-click
# menu and info panel. Two extraction passes:
#  1) `strings -a` on the raw DLL — finds identifiers plus KSPField/KSPEvent "guiName"/"guiActive"
#     custom-attribute argument strings (.NET stores these as compact UTF-8 in the attribute blob
#     heap, which is why they show up in the plain byte scan while method-body literals don't).
#     Two guiName values ("Repack chute", "Is Safe to Deploy?") were reconstructed from adjacent
#     ECMA-335 attribute-blob flag bytes that `strings` folded into the text (verified against the
#     sibling GUIDeploy/GUIArm/GUIDisarm/GUICut/GUIRepack method-naming pattern) — flagged here as
#     moderate- rather than full-confidence.
#  2) A custom UTF-16LE scanner (macOS `strings` cannot see .NET ldstr literals, which are UTF-16)
#     for the actual GUILayout.Label text used throughout the in-editor Parachute Editor window,
#     the advanced-calculations sub-window, and the info window.
# Skipped by design: type/method/field identifiers, ConfigNode persistence keys and section names
# (chuteID, PARACHUTE, MATERIAL, CASE_TEXTURE...), Debug-log-only "[RealChute]: ..." diagnostic
# messages, .pdb paths, version/GUID/copyright metadata, numeric default values, the stock
# celestial-body name "Kerbin" (already localized by the base game), string.Format templates with
# {0}-style placeholders (the substituted runtime text never equals the template verbatim), and
# any fragment that is clearly just one half of a string built via runtime concatenation (e.g.
# 'The "' + presetName + '" preset was successfully saved!') since only the full concatenated
# string is ever passed to GUI.Label, and that fragment would never equal it. Two entries with an
# embedded literal tab ("\t\tCase cost: ", "\tTotal part cost: ") and one with a leading literal
# newline ("\nTotal part mass: ") are included with the leading whitespace stripped instead: the
# loader's line.IndexOf('\t') would otherwise treat the embedded tab as the field delimiter (or
# File.ReadAllLines would split the entry on the embedded newline), corrupting the entry, so the
# literal-tab/newline versions can never be represented in this file format at all — the stripped
# versions are a best-effort fallback in case the same label text is reused elsewhere unprefixed.


# --- Window / dialog titles ---
RealChute Parachute Editor 	Редактор парашюта RealChute 
Hide Parachute Editor	Скрыть редактор парашюта
Show Parachute Editor	Показать редактор парашюта
RealChute Settings	Настройки RealChute
RealChute Settings 	Настройки RealChute 
RealChute Info Window 	Информационное окно RealChute 
Incompatible Mods Detected	Обнаружены несовместимые моды
Preset saved	Пресет сохранён

# --- Common dialog buttons / status words ---
Error	Ошибка
Error!	Ошибка!
Success	Успешно
Warning	Предупреждение
Cancel	Отмена
Close	Закрыть
Save...	Сохранить...
Save as preset	Сохранить как пресет
Save as preset...	Сохранить как пресет...
Select a preset	Выберите пресет
Select preset	Выбрать пресет
Delete preset	Удалить пресет
Preset name:	Имя пресета:
Preset description	Описание пресета
Preset name cannot be empty!	Имя пресета не может быть пустым!
Are you sure you wish to delete this preset?	Вы уверены, что хотите удалить этот пресет?
Warning: there is already a preset saved under this name. Are you sure you wish to proceed?	Предупреждение: пресет с таким именем уже сохранён. Продолжить?
No saved presets	Нет сохранённых пресетов
Presets	Пресеты
Description: 	Описание: 
Description:  	Описание:  

# --- Main editor window fields ---
Selected part: 	Выбранная деталь: 
Symmetry counterparts: 	Симметричные копии: 
Case mass: 	Масса корпуса: 
Case cost: 	Стоимость корпуса: 
Total part mass: 	Общая масса детали: 
Total part cost: 	Общая стоимость детали: 
Target planet:	Целевая планета:
Cycle part size	Сменить размер детали
Previous size	Предыдущий размер
Next size	Следующий размер
Must go down to deploy:	Раскрывать только при снижении:
Deploy on ground contact:	Раскрывать при касании земли:
Deployment timer:	Таймер раскрытия:
Spare chutes:	Запасные парашюты:
Autocut speed (m/s):	Скорость автоотстрела (м/с):
Landing alt (m):	Высота приземления (м):
Main chute:	Основной парашют:
Apply settings	Применить настройки
Apply to all symmetry counterparts	Применить ко всем симметричным копиям
The application of the parameters succeeded!	Параметры успешно применены!
