# Scatterer — русская локализация UI (окна настроек океана/атмосферы/солнца)
# Формат: Английский<TAB>Русский. Извлечено из Scatterer.dll (strings + IL-анализ ldstr).

# --- Главное окно / вкладки ---
Planet settings	Настройки планеты
Sunflare settings	Настройки солнечного блика
Atmosphere	Атмосфера
Ocean	Океан
Config points	Точки конфигурации
Planet:	Планета:
Map EVE clouds	Отобразить облака EVE
Toggle WireFrame	Переключить каркасный режим
Reload shader bundles	Перезагрузить пакеты шейдеров
Quality Presets	Пресеты качества
Customize Settings	Настроить параметры
Current preset:	Текущий пресет:
Apply preset	Применить пресет
Scattering	Рассеяние
Sunflare	Солнечный блик
Lighting	Освещение
Shadows	Тени
EVE Clouds	Облака EVE
Misc	Прочее
Misc.	Прочее.
Menu scroll section height	Высота прокручиваемой области меню
.cfg file used (display only):	Используемый .cfg-файл (только для отображения):
.cfg file used:	Используемый .cfg-файл:
ModuleManager patch detected, saving disabled	Обнаружен патч ModuleManager, сохранение отключено

# --- Misc/качество/производительность ---
Legacy terrain godrays (Requires long-distance shadows and shadowMapResolution override, Directx11 only)	Лучи солнца сквозь рельеф (старый метод) (требует дальних теней и переопределения shadowMapResolution, только DirectX11)
Temporal Antialiasing (TAA), can combine with SMAA	Временное сглаживание (TAA), можно сочетать с SMAA
Stationary blending	Смешение в стационарном режиме
   Motion blending	   Смешение в движении
   Sample spread	   Разброс сэмплов
   Sharpness	   Резкость
Disable TAA below framerate threshold (when SMAA is enabled)	Отключать TAA ниже порога FPS (если включён SMAA)
Subpixel Morphological Antialiasing (SMAA), can combine with TAA	Субпиксельное морфологическое сглаживание (SMAA), можно сочетать с TAA
SMAA quality (1:normal,2:high)	Качество SMAA (1: обычное, 2: высокое)
Tonemapper (0:disabled,1:bruneton,2:uncharted)	Тонмаппер (0: выкл, 1: bruneton, 2: uncharted)
Use low resolution atmosphere (for slower machines that get white atmos)	Использовать атмосферу в низком разрешении (для слабых машин, у которых атмосфера становится белой)
Ocean shaders	Шейдеры океана
Fourier grid size (64:fast,128:normal,256:HQ)	Размер сетки Фурье (64: быстро, 128: обычно, 256: высокое качество)
Mesh resolution (pixels covered by a mesh quad, lower is better but slower)	Разрешение сетки (пикселей на квад сетки; меньше — лучше, но медленнее)
Transparency and refractions	Прозрачность и преломления
Foam	Пена
Sky reflections	Отражения неба
Surface receives shadows	Поверхность принимает тени
Secondary lights compatibility (huge performance hit when lights on)	Совместимость с дополнительными источниками света (сильно снижает производительность при включении)
Underwater caustics	Подводные каустики
Underwater light rays	Подводные лучи света
Waves interact with ships (Requires asyncGPU readback, Directx11 only)	Волны взаимодействуют с кораблями (требует asyncGPU readback, только DirectX11)
Override water crash tolerance	Переопределить допуск столкновения с водой
Crash tolerance (default is 1.2)	Допуск столкновения (по умолчанию 1.2)
Override water drag	Переопределить сопротивление воды
Override max water recovery velocity	Переопределить макс. скорость восстановления на воде
Maximum recovery velocity (default is 0.3)	Максимальная скорость восстановления (по умолчанию 0.3)
Eclipses (WIP, sky/orbit only for now)	Затмения (в разработке, пока только небо/орбита)
Kopernicus ring shadows (linear only, tiled rings not supported)	Тени колец Kopernicus (только линейные, тайловые кольца не поддерживаются)
Disable scaled space ambient light	Отключить фоновое освещение в масштабированном пространстве
Sunlight extinction (direct sun light changes color with sunset/dusk)	Затухание солнечного света (прямой свет меняет цвет на закате/в сумерках)
Dim light underwater	Приглушённый свет под водой
1.9+ Directx11 flickering shadows fix (recommended for 1.9, 1.10)	Фикс мерцания теней DirectX11 для 1.9+ (рекомендуется для 1.9, 1.10)
Long-Distance Terrain shadows	Дальние тени рельефа
[Inactive] 	[Неактивно]
[Active] 	[Активно]
Shadows Distance (in meters):	Дальность теней (в метрах):
Shadowmap resolution (power of 2, zero for no override):	Разрешение карты теней (степень двойки, 0 — без переопределения):
Shadow cascade splits (zeroes for no override):	Разбиение каскадов теней (нули — без переопределения):
Shadow bias (0 for no override)	Смещение теней (0 — без переопределения)
